rna_RD001	rna_RD002	rna_RD003	rna_RD004	rna_RD005	rna_RD006	rna_RD007	rna_RD008	rna_RD009	rna_RD010	rna_RD011	rna_RD012	rna_RD013	rna_RD014	rna_RD015	rna_RD016	rna_RD017	rna_RD018	rna_RD019	rna_RD020	rna_RD021
ENSMUSG00000000787.12	23.47	6.76	26.59	28.04	22.06	25.09	19.87	12.94	2.63	18.22	1.39	2.6	2.7	10.59	1.79	2.87	0	0.86	0.49	0.49	3.57
ENSMUSG00000000791.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27	0	8.62	1.47
ENSMUSG00000000792.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000794.9	0	0.7	0	2.13	0.68	0.49	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000804.14	0	0.83	0.57	4.25	2.95	3.62	0.89	0.51	0	0	3.14	1	0.98	0	0.46	0.62	0	0	0	0	0
ENSMUSG00000000805.18	11.35	3.34	11	6.97	13.7	10.87	13.95	5.94	0	6.71	1.44	16.03	0	19.6	2.94	0	0	0	0	0	0
ENSMUSG00000000811.13	4.58	7.15	6.71	5.76	3.47	4.46	1.75	6.28	7.41	0	0.68	0	0.57	0	0.63	0.86	0	1.67	0	0	0.97
ENSMUSG00000000817.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000823.16	8.46	3.76	13.09	9.73	14.41	9.6	7.74	7.31	3.64	3.48	0.61	0.41	0	4.77	2.79	0	0	0	0.42	0	0
ENSMUSG00000000826.16	15.76	16.21	6.42	14.01	5.4	10.83	3.28	12.14	2.04	0.52	0.74	0	0.49	4.98	0.84	0.31	0	1.78	2.81	0.63	0
ENSMUSG00000000827.18	2.89	5.64	4.78	13.92	21.78	22.99	6.31	13.33	4.63	4.32	5.61	4.69	1.14	7.72	2.41	0	0	2.83	0	0	0
ENSMUSG00000000838.17	7.86	7.4	4.01	7.9	5.63	5.11	5.35	6.38	7.28	0.47	0	0.55	0	0	0.38	10.61	0	0	0	4.82	4.74
ENSMUSG00000000861.15	0	0	0	0	0	0	0.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000869.12	23.66	19.99	25.7	10.06	14.58	27.54	5.35	34.06	10.16	9.62	0	11.45	16.05	5.87	11.58	16.11	102.33	10.33	5.82	23.51	12.17
ENSMUSG00000000876.11	2.03	0.73	0.74	0.73	2.12	1.51	1.56	1.86	0	3.5	2.4	0.81	1.17	0.84	0.56	0	0	0	0	0	0
ENSMUSG00000000881.12	0	4.77	4.41	14.59	5.01	3.29	10.1	2.58	0.61	4.59	0.5	0.68	0	0.7	0	0.63	0	1.1	0	0	0
ENSMUSG00000000884.16	1.41	8.96	0	0	0	0	0.61	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000889.8	0	0	0.82	0.8	0	3.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901.16	161.7	150.25	161.02	194.19	116.29	188.31	188.52	135.95	161.49	446.6	313.79	616.81	393.11	452	377.82	447.09	911.58	282.79	500.56	356.31	241.89
ENSMUSG00000000902.13	17.65	9.67	11.7	11.63	25.07	22.18	8.4	22.79	9.03	5.1	6.43	6.33	2.1	5.45	0	6.91	0	0	8.31	0.3	2.86
ENSMUSG00000000903.3	11.61	16.4	12.64	16.5	15.94	2.83	17.57	17.46	16.62	3.95	0	4.68	0	4.81	3.16	0	0	0	0	0	0
ENSMUSG00000000915.15	96.32	102.6	99.01	112.9	95.96	94.46	101.47	92.4	113.61	37.8	24.99	31.89	25.15	32.79	24.25	43.47	83.22	187.87	171.27	258.83	166.21
ENSMUSG00000000916.15	325.54	379.7	314.3	373.61	245.26	276.85	343.19	296.12	319.35	48.18	49.06	58.51	71.94	49.72	45.74	95.08	64.03	151.43	182.68	194.83	217.69
ENSMUSG00000000934.9	1.02	3.03	2.25	1.1	3.35	2.38	3.7	0	0	3.09	0	3.65	0	3.64	0.84	0	0	0	0	0	0
ENSMUSG00000000938.11	72.97	65.03	97.18	52.44	90.07	93.58	78.68	78.1	74.11	359.69	225.23	416.15	178.53	387.81	206.91	147.23	94.69	108.14	84.1	101.85	51.07
ENSMUSG00000000942.10	0	0	2.73	0	0	0.92	0	0	1.34	0	0	0	0	0	0	0	0	0	0	0	1.58
ENSMUSG00000000948.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000957.11	23.43	9.43	30.29	25.27	14.88	44.55	20.22	27.18	21.32	1.32	0	3.83	0	4	0	0	0	6.69	0	0	0
ENSMUSG00000000958.10	8.47	3.03	8.25	10.75	4.89	11.76	7.55	7.73	11.11	9.69	13.29	14.52	21.48	22.24	8.97	10.55	0	11.32	10.49	4.67	9.55
ENSMUSG00000000959.7	63.48	48.29	85.29	58.6	91.2	112.75	42.18	77.53	82.64	190.9	123.9	261.26	150.9	274.05	173.58	175.79	328.69	38.28	14.87	20.48	99.85
ENSMUSG00000000976.13	0.91	2.45	0.5	3.19	4.49	3.79	2.1	3.82	1.28	0.94	0	1.64	0.78	1.14	0	0	0	0.86	0	0.41	1.5
ENSMUSG00000000982.5	0	0	0	0	3.06	2.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000983.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014.6	0	0	2.42	2.37	0	0	0	0	2.37	0	0	0	0	0	0	0	0	2.42	0	0	0
ENSMUSG00000001016.12	29.25	18.27	20.12	24.18	32.07	30.94	15.86	20.9	24.55	12.65	5.06	18.64	9.53	10.61	9.14	17.15	0	12.55	15.39	10.68	13.61
ENSMUSG00000001017.15	18.23	14.77	27.09	17.87	22.73	23.78	20.72	14.55	5.66	12.74	9.82	14.82	16.07	21.71	5.94	0	54.98	6.74	3.04	3.34	9.41
ENSMUSG00000001018.15	161.11	93.53	137.25	98.19	138.92	114.96	129.18	145.11	149.16	45.87	29.03	57.32	30.03	58.07	34.05	47.59	0	54.54	72.25	56.63	49.82
ENSMUSG00000001020.8	0	0	0	0	10.4	0	0	0	0	0	0	0	0	0	0	0	0	11.21	0	0	6.88
ENSMUSG00000001021.12	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001023.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025.8	99.3	42.9	19.3	56.63	36.48	30.06	26.78	29.53	44.15	6.01	5.2	7.2	0	0	0	13.54	0	37.02	27.02	38.02	15.35
ENSMUSG00000001027.7	0.28	0	0.3	0	0	0	0	0	0.89	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001029.15	1.59	10.52	0	10.43	4.96	10.03	5.89	8.96	4.67	0	0	0	0	0	0	5.93	0	0	0	0	0
